Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Account),Custom field (Business Value),Custom field (Cascading Select),Custom field (Effort),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Founder Sign-off),Custom field (Frustration),Custom field (Incorporated Version),Custom field (Iteration),Custom field (Link to play),Custom field (Morale),Custom field (Parent Link),Custom field (Peer Sign-off),Custom field (Phone Screen Feedback),Custom field (Phone Screen Score),Custom field (QA Completed On),Custom field (Raised During),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Notes status),Custom field (Testing Status),Custom field (Total Days Spent),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Verify Observation Coefficients and Forecasts for Same Prediction Date,AXON-1216,22513,22503,Sub-task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,20/Oct/16 4:31 PM,20/Oct/16 4:44 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,,,,Verification;20/Oct/16 4:35 PM;jbledsoe;3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3600,,,0,3600,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00djz:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Productionize DataScience Review Page ,AXON-1116,22001,,Task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jeffesp,jeffesp,jeffesp,28/Sep/16 11:49 AM,20/Oct/16 4:03 PM,01/Nov/16 4:03 PM,,,Public Web,,,,0,,,,"It don't work no more. Make it work and not just for OFFA, but for all clients.

Going to do the following after talking with DS team: 

List Page:

1. Allow user to search for a store/product
2. When selected is added to list below.
3. List is paged and sorted by create date descending
4. Links to store page or product page based on which thing it is.

Store Page:

1. By default show a very large date range
2. Show the predictions chart as the first thing on the page
3. Show the causal impact chart as the second thing on the page.
4. Date range is selectable in the header like in the prototype.

Product Page:

Is the demand page but with only 1 product and selectable date range.",,gitlab,jeffesp,,Figure out what the previous page did and what we need to do now.;03/Oct/16 10:41 AM;jeffesp;7200,discuss requirements;04/Oct/16 11:08 AM;jeffesp;3600,start moving to new page;04/Oct/16 2:43 PM;jeffesp;10800,keep moving page forward;07/Oct/16 3:37 PM;jeffesp;21600,complete sorting/filtering stuff for listing page;07/Oct/16 3:38 PM;jeffesp;10800,"new product page, make sure store is still working;07/Oct/16 3:38 PM;jeffesp;10800",review and complete pages;13/Oct/16 8:28 AM;jeffesp;14400,"make it so nav links can be filtered by claims, and then add DS page to nav links.;14/Oct/16 5:14 PM;jeffesp;14400",small updates based on use by Ryan;20/Oct/16 4:01 PM;jeffesp;3600,"updates based on feedback from review with Jason (add filter, etc).;20/Oct/16 4:03 PM;jeffesp;3600",,,,,,,,,,,,,,,,,,,,0,100800,,,0,100800,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00chz:,,,,,,,,,,Not started,,2016-10-06 16:57:57.266,"06/Oct/16 4:57 PM;gitlab;[Jeff Espenschied|https://www.nexosisdev.com/u/jeffesp] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/8b7fbbb91b4e161614c7d3e2611228784381a440]:
'Merge branch 'master' into AXON-1116'","07/Oct/16 3:30 PM;gitlab;[Jeff Espenschied|https://www.nexosisdev.com/u/jeffesp] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/e9183d170e5ce83c72489ec264355303864fdc9d]:
'Merge branch 'master' into AXON-1116'",,,,,,,,,,,,,,,,,
ChartJS doesn't properly select end date,AXON-1174,22253,,Bug,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jeffesp,j.monty,j.monty,10/Oct/16 3:07 PM,20/Oct/16 4:02 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,"When trying to set an end date, the ChartJS graph doesn't always properly render the correct end-date. 

In the attached image, notice how end-date is set to Oct 30 but the chart stops at ~Oct 11th.

 !image-2016-10-10-15-03-16-138.png|thumbnail! ",,j.monty,,,fix issue with end date and also update fundamental way charts are rendered to make sure we always update when needed.;20/Oct/16 4:02 PM;jeffesp;10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10800,,,0,10800,,,,,,,,,,,,,,,,,,10/Oct/16 3:03 PM;j.monty;image-2016-10-10-15-03-16-138.png;https://giresearch.atlassian.net/secure/attachment/18725/image-2016-10-10-15-03-16-138.png,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00d4f:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Click on Dashboard Date Range to edit date range,AXON-1027,21117,,Task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jeffesp,edunne,edunne,06/Sep/16 11:19 AM,20/Oct/16 3:59 PM,01/Nov/16 4:03 PM,,,,,,,0,assign,,," !image-2016-09-06-11-17-49-853.png|thumbnail! 

Swap out blue date range with date range picker on click
Should function similar to hierarchy selection on panels",,edunne,gitlab,,changed all pages to use new heading based datepicker.;20/Oct/16 3:58 PM;jeffesp;27000,fix bug on when the 'custom dates' close.;20/Oct/16 3:59 PM;jeffesp;7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34200,,,0,34200,,,,,,,,,,,,,,,,,,19/Sep/16 4:54 PM;edunne;Blue Title Date Clickety-click SS.png;https://giresearch.atlassian.net/secure/attachment/18115/Blue+Title+Date+Clickety-click+SS.png,06/Sep/16 11:17 AM;edunne;image-2016-09-06-11-17-49-853.png;https://giresearch.atlassian.net/secure/attachment/17702/image-2016-09-06-11-17-49-853.png,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00bhb:,,,,,,,,,,Not started,,2016-10-13 16:29:38.071,"13/Oct/16 4:29 PM;gitlab;[Jeff Espenschied|https://www.nexosisdev.com/u/jeffesp] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/67ca9b46909db63d76965e1ee314037b8940c4b4]:
'Merge branch 'master' into AXON-1027'","13/Oct/16 4:53 PM;gitlab;[Jeff Espenschied|https://www.nexosisdev.com/u/jeffesp] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/6dc92081119d8927d12e489a51e7d198e79846b0]:
'Merge branch 'master' into AXON-1027'",,,,,,,,,,,,,,,,,
Authentication for Magento 2,AXON-1214,22509,,Task,Next Week,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,cvermeer,cvermeer,cvermeer,20/Oct/16 10:39 AM,20/Oct/16 10:40 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,Setup authentication to Magento 2,,cvermeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00dj3:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Merge DatePart and TimeUnit Implementations,AXON-1213,22508,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,,jbledsoe,jbledsoe,20/Oct/16 10:32 AM,20/Oct/16 10:33 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Parallel implementations by different developers used for essentially the same purpose. 

 !highlander.png|thumbnail! 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/Oct/16 10:33 AM;jbledsoe;highlander.png;https://giresearch.atlassian.net/secure/attachment/18904/highlander.png,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00div:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Roll-Up Store Predictions by City/State/Franchise Group,AXON-824,18924,,Task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,11/Jul/16 2:15 PM,19/Oct/16 3:12 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-809,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i008zz:,,,,,,,,,,Not started,,,14/Oct/16 4:46 PM;jbledsoe;All of the work for this issue is being done in AXON-809.,,,,,,,,,,,,,,,,,,
Create Public API to Compute Prediction Metrics for Time Period,AXON-1197,22294,,Task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,17/Oct/16 3:07 PM,19/Oct/16 12:51 PM,01/Nov/16 4:03 PM,,,Public API,,,21/Oct/16 12:00 AM,0,okr,,,"Create an API method that computes prediction metrics (e.g. MAPE, SMAPE) for a time period.

Perhaps make these ""computers"" implementations of the strategy pattern.",,gitlab,,,Implement the service and tests.;19/Oct/16 12:51 PM;jbledsoe;16200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16200,,,0,16200,,AXON-1196,,,,,,AXON-1193,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00dd3:,,,,,,,,,,Not started,,2016-10-19 12:50:54.097,"19/Oct/16 12:50 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/00caad2e3fb34b18f7f35ffbb698a27d4a484ba2]:
'Merge branch 'AXON-1197''",,,,,,,,,,,,,,,,,,
Clean Up HTML Comments,AXON-1190,22285,19739,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,edunne,edunne,edunne,14/Oct/16 4:55 PM,18/Oct/16 2:21 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,edunne,,,Working through changes;17/Oct/16 4:35 PM;edunne;4500,Done;18/Oct/16 2:21 PM;edunne;10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15300,,,0,15300,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00db3:,,,,,,,,,,Not started,,,17/Oct/16 4:35 PM;edunne;Cleaned up comments and HTML from <body> to #wrapper and /#wrapper to bottom;,,,,,,,,,,,,,,,,,,
unusual prediction behavior after 2 weeks- see screenshot ,AXON-1209,22403,,Bug,This Week,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,,rwest,rwest,18/Oct/16 1:46 PM,18/Oct/16 1:46 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,rwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Oct/16 1:45 PM;rwest;Screen Shot 2016-10-18 at 1.40.57 PM.png;https://giresearch.atlassian.net/secure/attachment/18805/Screen+Shot+2016-10-18+at+1.40.57+PM.png,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00dg7:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Actual line extends into the future,AXON-1208,22402,,Bug,This Week,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,,rwest,rwest,18/Oct/16 1:37 PM,18/Oct/16 1:38 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,Yellow actual line extends further out than it should when the prediction date is set for >2 weeks out.,,rwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Oct/16 1:32 PM;rwest;Screen Shot 2016-10-18 at 1.31.22 PM.png;https://giresearch.atlassian.net/secure/attachment/18804/Screen+Shot+2016-10-18+at+1.31.22+PM.png,18/Oct/16 1:35 PM;rwest;Screen Shot 2016-10-18 at 1.35.02 PM.png;https://giresearch.atlassian.net/secure/attachment/18803/Screen+Shot+2016-10-18+at+1.35.02+PM.png,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00dfz:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Label reads different value than displayed on graph,AXON-1207,22401,,Bug,This Week,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,,rwest,rwest,18/Oct/16 12:59 PM,18/Oct/16 12:59 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Screenshot of issue attached. On 10/16, label reads a prediction of 4 units sold but graph shows 3 sold.",,rwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Oct/16 12:57 PM;rwest;Screen Shot 2016-10-18 at 12.54.09 PM.png;https://giresearch.atlassian.net/secure/attachment/18802/Screen+Shot+2016-10-18+at+12.54.09+PM.png,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00dfr:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Notification Timestamps,AXON-1186,22277,21900,Sub-task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,cvermeer,cvermeer,cvermeer,13/Oct/16 7:11 PM,17/Oct/16 5:00 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Incorporate the timestamps into the notifications.

",,cvermeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-1177,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00d9b:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Show Job Results on Data Science Page,AXON-1195,22292,,Story,To Do,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,17/Oct/16 1:34 PM,17/Oct/16 4:56 PM,01/Nov/16 4:03 PM,,,Public Web,,,,0,,,,"Rather than just showing final predictions on the data science page, show job results, allowing data scientists to review all jobs run against a data set, not just the run chosen for predictions.

Implement something similar to the prediction detail page for NBC.",,,,,Create tasks.;17/Oct/16 4:56 PM;jbledsoe;2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2700,,,0,2700,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00dcn:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Run Other Prediction Algorithms,AXON-1194,22291,,Story,In Progress,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,17/Oct/16 1:27 PM,17/Oct/16 4:55 PM,01/Nov/16 4:03 PM,,,Data Science Engine,,,,0,,,,"For Wendy's, Adjugo, etc. run the other algorithms that we used to run for NBC, including ARIMAX, ETS, etc. Run these algorithms once the data, rather than twice (using train/test mechanism) and store the results in the Job tables. Don't ever show these results to customers; instead just always choose BSTS for predictions (for now), but go ahead and run them and we'll make the visible to data science.",,,,,Create tasks.;17/Oct/16 4:54 PM;jbledsoe;4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4500,,,0,4500,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00dcf:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Measure and Display Prediction Accuracy,AXON-1193,22290,,Story,In Progress,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,17/Oct/16 1:18 PM,17/Oct/16 4:54 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Display real-time prediction accuracy metrics (MAE, RMSE, etc.) by comparing predictions with overlapping observations for a visible date range.

This will be accomplished by comparing values in the Observation Group table with the Prediction Group table, and will only be displayed when observations have been retrieved (at a later date) that overlap predictions.

Actual metrics to be displayed (and the math to calculate them) will be determined by Data Science.",,,,,"Choose accuracy metrics, discuss UI/UX and create tasks.;17/Oct/16 4:54 PM;jbledsoe;9000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9000,,,0,9000,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00dc7:,,,,,,,,,,Not started,,,"17/Oct/16 2:36 PM;jbledsoe;I'm going to propose that we use two metrics: MAPE and SMAPE.
* MAPE is sum of ((absolute error) / (observation)) for each day in the period
* SMAPE is sum of (2 * (absolute error) / (observation + prediction)) for each day in the period

MAPE is the ""industry standard"" metric whereas SMAPE is the ""better"" metric, in that it is symmetric (behaves similarly for large and small quantities) and has a defined scale (0 - 200%). SMAPE does bias over-prediction somewhat, but this may be beneficial to customers concerned with having products in stock, having enough workers on hand, etc.",,,,,,,,,,,,,,,,,,
Change Red Lady Prediction Workflow to Upsert Prediction Groups,AXON-810,18908,,Task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,,jbledsoe,jbledsoe,11/Jul/16 8:43 AM,17/Oct/16 4:47 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Once the Prediction Groups table is created, change the Red Lady prediction workflow to upsert the Prediction Groups table with results from each job.",,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i008wf:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
ReturnUrl Is Ignored On Login,AXON-1031,21207,,Bug,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,07/Sep/16 3:47 PM,17/Oct/16 4:40 PM,01/Nov/16 4:03 PM,,,Public Web,,,,0,,,,Pay attention to the ReturnUrl query string parameter when logging into Axon.,,gitlab,,,Implement and test feature.;17/Oct/16 4:40 PM;jbledsoe;7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7200,,,0,7200,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00blr:,,,,,,,,,,Not started,,2016-10-17 09:52:51.855,"17/Oct/16 9:52 AM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/580b265dd6c44da37729df3532c6db16e8880340]:
'AXON-1031 - Support ReturnUrl in login.'",,,,,,,,,,,,,,,,,,
Create Account Management Page,AXON-1124,22107,19739,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,edunne,edunne,edunne,29/Sep/16 1:06 PM,17/Oct/16 4:36 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,Move New User from User Profile,,edunne,,,Begin work on page;14/Oct/16 4:44 PM;edunne;4500,Initial version;17/Oct/16 1:30 PM;edunne;9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13500,,,0,13500,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00clr:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Show Job Results on Data Science Page,AXON-1204,22301,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,17/Oct/16 4:33 PM,17/Oct/16 4:33 PM,01/Nov/16 4:03 PM,,,Public Web,,,,0,,,,"Update the Data Science review page to show individual job results, not just prediction results. UI is TBD, but should help data scientists see all job runs rather than just the one chosen by the ""reigning champion"" algorithm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-1195,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00den:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Create Separate Job and Prediction Services,AXON-1203,22300,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,17/Oct/16 4:31 PM,17/Oct/16 4:33 PM,01/Nov/16 4:03 PM,,,Public API,,,,0,,,,"When introducing the prediction table (AXON-809) the Job service was updated to return prediction results. In order to support the data science view page, we need a service that returns job results, so the Job service needs to be changed back to return Job results and a new Prediction service needs to be created that returns Prediction results. The current web application should be updated to always use the Prediction service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-1204,,,,,,AXON-1195,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00def:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Extract BSTS/Causal Impact Step Properties from Database,AXON-1202,22299,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,17/Oct/16 4:20 PM,17/Oct/16 4:21 PM,01/Nov/16 4:03 PM,,,Data Science Engine,,,,0,,,,"Workflows that use Axon.Forecast algorithms extract the algorithms to execute from the database, including arguments to pass into the R command line. Make BSTS and Causal Impact behave this same way in the Red Lady and Adjugo workflows.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-1194,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00de7:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Make Common C# Implementations of AASP/DR Algorithms,AXON-1200,22297,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,17/Oct/16 4:05 PM,17/Oct/16 4:05 PM,01/Nov/16 4:03 PM,,,Data Science Engine,,,,0,,,,"Currently, the AASP and Dead Reckoning algorithms are implemented in IronPython and are only usable in NBC. Create common C# implementations of these algorithms that work against standard data structures.

Since our IronPython support is deprecated, remove it once this task is complete.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-1194,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00ddr:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Extract Model Results from Axon.Forecast Algorithms,AXON-1199,22296,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,17/Oct/16 3:59 PM,17/Oct/16 4:00 PM,01/Nov/16 4:03 PM,,,Data Science Engine,,,,0,,,,"For any Axon.Forecast algorithms that can provide them, extract model results and store them in the same way that BSTS model results are stored. This way, if the algorithm is chosen by the ""reigning champion"" logic, the web application can still display profitability components.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-1194,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00ddj:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Add 'Other Pallet QTY' to product maintenance,AXON-250,13503,,Task,Canceled,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,,rsevey,rsevey,06/Jan/16 2:30 PM,17/Oct/16 10:37 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Add a function where the user can add other pallet qty. numbers.  For example, some products come in Quarter, Half, and Three Quarter quantity.",,rsevey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i002ut:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
